TM Market Name,Weekend Name,Tough Mudder Event Name,Event Year,Adjusted Start Date,Start Date/Time,End Date/Time,Tough Mudder Venue: Tough Mudder Venue Name,Tough Mudder Venue: Venue Address 1,Tough Mudder Venue: Venue Address 2,Tough Mudder Venue: Venue City,Tough Mudder Venue: Venue State,Tough Mudder Venue: Venue Postal Code,Tough Mudder Venue: Venue Country,TM5K,TMH,TMF,TRM,RTM,TMX
Houston,Houston 2018,Tough Mudder Houston 2018,2018,11/10/18,11/10/18 3:00,11/12/18 2:59,3 Palms Action Sports Park,15100 Interstate 45 South,,Conroe,TX,77384,US,Yes,Yes,Yes,Yes,,
Whistler,Whistler 2018,Tough Mudder Whistler 2018,2018,6/16/18,6/16/18 3:00,6/18/18 2:59,Whistler Olympic Park,5 Callaghan Valley Road,,Whistler,BC,V0N 1B1,CA,,Yes,Yes,Yes,,
Toronto,Toronto 2018,Tough Mudder Toronto 2018,2018,9/15/18,9/15/18 3:00,9/17/18 2:59,Christie Lake Conversation Area,1000 ON-5,,Dundas,ON,L9H 5E2,CA,Yes,Yes,Yes,Yes,,
NRW,NRW 2018,Tough Mudder NRW 2018,2018,6/2/18,6/1/18 18:00,6/3/18 17:59,Jagdschloss Herdringen,Zum Herdringer Schloss 7,,Arnsberg,,59757,DE,,Yes,Yes,Yes,,
Norddeutschland,Norddeutschland 2018,Tough Mudder Norddeutschland 2018,2018,7/7/18,7/6/18 18:00,7/8/18 17:59,Reiter- und Ferienhof Severloh,Hof Severloh,,Hermannsburg,,29320,DE,,Yes,Yes,Yes,,
Suddeutschland,Suddeutschland 2018,Tough Mudder Süddeutschland 2018,2018,9/15/18,9/14/18 18:00,9/16/18 17:59,Wassertrüdingen am Öttinger Forst,An der Schlosswand,,Wassertrüdingen,,91717,DE,,Yes,Yes,Yes,,
Berlin,Berlin 2018,Tough Mudder Berlin 2018,2018,9/1/18,8/31/18 18:00,9/2/18 17:59,Lausitzring,Lausitzallee 1,,Schipkau,,1998,DE,Yes,Yes,Yes,,,
Berlin,Berlin 2018,Europe's Toughest Mudder - Berlin 2018,2018,9/1/18,8/31/18 18:00,9/2/18 17:59,Lausitzring,Lausitzallee 1,,Schipkau,,1998,DE,,,,,Yes,
NRW (Eifel),NRW (Eifel) 2018,Tough Mudder NRW (Eifel) 2018,2018,9/29/18,9/28/18 18:00,9/30/18 17:59,Schloss Wachendorf,Schloß Wachendorf 1,,Mechernich,,53894,DE,,Yes,Yes,Yes,,
Berlin,Berlin 2018,Tough Mudder 5K Berlin 2018,2018,6/29/18,6/28/18 18:00,6/30/18 17:59,Rennbahn Hoppegarten,Goetheallee 1,,Hoppegarten,,15366,DE,Yes,,,,,
Hamburg,Hamburg 2018,Tough Mudder 5K Hamburg 2018,2018,7/27/18,7/26/18 18:00,7/28/18 17:59,Galopprennbahn Hamburg-Horn,Rennbahnstraße 96,,Hamburg,,22111,DE,Yes,,,,,
Munchen,Munchen 2018,Tough Mudder 5K München 2018,2018,10/19/18,10/18/18 18:00,10/20/18 17:59,Olympiapark,Spiridon-Louis-Ring 21,,München,,80809,DE,Yes,,,,,
London South,London South 2 2018,Tough Mudder London South 2018 - Weekend 2,2018,9/29/18,9/28/18 20:00,9/30/18 19:59,Holmbush Estate,Holmbush Farm,Crawley Road,Faygate,West Sussex,RH12 4SE,GB,,Yes,Yes,Yes,,
London South,London South 1 2018,Tough Mudder London South 2018 - Weekend 1,2018,9/22/18,9/21/18 20:00,9/22/18 19:59,Holmbush Estate,Holmbush Farm,Crawley Road,Faygate,West Sussex,RH12 4SE,GB,,Yes,Yes,Yes,,
London West,London West 1 2018,Tough Mudder London West 2018 - Weekend 1,2018,4/28/18,4/27/18 20:00,4/28/18 19:59,Culden Faw,Fawley,,Henley on Thames,,RG9 3AP,GB,,Yes,Yes,Yes,,
London West,London West 2 2018,Tough Mudder London West 2018 - Weekend 2,2018,5/5/18,5/4/18 20:00,5/6/18 19:59,Culden Faw,Fawley,,Henley on Thames,,RG9 3AP,GB,,Yes,Yes,Yes,,
Midlands,Midlands 1 2018,Tough Mudder Midlands 2018 - Weekend 1,2018,5/12/18,5/11/18 20:00,5/12/18 19:59,Belvoir Castle,Belvoir Castle,,Grantham LEI,,NG32 1PE,GB,,Yes,Yes,Yes,,
Midlands,Midlands 2 2018,Tough Mudder Midlands 2018 - Weekend 2,2018,5/19/18,5/18/18 20:00,5/20/18 19:59,Belvoir Castle,Belvoir Castle,,Grantham LEI,,NG32 1PE,GB,,Yes,Yes,Yes,,
Midlands,Midlands 1 2018,Europe's Toughest Mudder - Midlands 2018,2018,5/12/18,5/11/18 20:00,5/12/18 19:59,Belvoir Castle,Belvoir Castle,,Grantham LEI,,NG32 1PE,GB,,,,,Yes,
Scotland,Scotland 2018,Tough Mudder Scotland 2018,2018,6/16/18,6/15/18 20:00,6/17/18 19:59,Drumlanrig Castle,Thornhill,,DGY,,DG3 4AQ,GB,,Yes,Yes,Yes,,
Scotland,Scotland 2018,Europe's Toughest Mudder - Scotland 2018,2018,6/16/18,6/15/18 20:00,6/16/18 19:59,Drumlanrig Castle,Thornhill,,DGY,,DG3 4AQ,GB,,,,,Yes,
London North,London North 2018,Tough Mudder London North 2018,2018,7/7/18,7/6/18 20:00,7/8/18 19:59,Gaddesden Home Farm,Bridens Camp,Hemel Hempstead,Hertfordshire,,HP2 6EZ,GB,,Yes,Yes,Yes,,
Yorkshire,Yorkshire 2018,Tough Mudder Yorkshire 2018,2018,7/28/18,7/27/18 20:00,7/29/18 19:59,Broughton Hall,Skipton,,Yorkshire,,BD23 3AE,GB,,Yes,Yes,Yes,,
South West,South West 2018,Tough Mudder South West 2018,2018,8/18/18,8/17/18 20:00,8/19/18 19:59,Badminton Estate,Badminton South,,Gloucestershire,,GL9 1AA,GB,,Yes,Yes,Yes,,
North West,North West 2018,Tough Mudder North West 2018,2018,9/8/18,9/7/18 20:00,9/9/18 19:59,Cholmondeley Castle,Cholmondeley,,Malpas Cheshire,,SY14 8HA,GB,,Yes,Yes,Yes,,
East London,East London 2018,Tough Mudder 5K East London 2018,2018,3/23/18,3/22/18 20:00,3/24/18 19:59,Queen Elizabeth Olympic Park,Stratford,,London,,E20 2ST,GB,Yes,,,,,
Bristol,Bristol 2018,Tough Mudder 5K Bristol 2018,2018,5/18/18,5/17/18 20:00,5/19/18 19:59,Clifton Down,Stoke Road,,Bristol,,BS9 1FG,GB,Yes,,,,,
Manchester,Manchester 2018,Tough Mudder 5K Manchester 2018,2018,8/10/18,8/9/18 20:00,8/11/18 19:59,Heaton Park,Middleton Road,,Manchester,,M25 2SW,GB,Yes,,,,,
Edinburgh,Edinburgh 2018,Tough Mudder 5K Edinburgh 2018,2018,8/25/18,8/24/18 20:00,8/25/18 19:59,Holyrood Park,Queen's Drive,,Endinburgh,,EH8 8HG,GB,Yes,,,,,
South London,South London 2018,Tough Mudder 5K South London 2018,2018,10/12/18,10/11/18 20:00,10/13/18 19:59,Clapham Common,Clapham,,London,,SW4 9AZ,GB,Yes,,,,,
Tri-State,Tri-State 2018,Tough Mudder Tri-State 2018,2018,10/6/18,10/5/18 20:00,10/7/18 19:59,Raceway Park,230 Pension Road,,Englishtown,NJ,7726,US,Yes,Yes,Yes,Yes,,
Las Vegas,Las Vegas 2018,Tough Mudder Las Vegas 2018,2018,10/20/18,10/19/18 20:00,10/21/18 19:59,Lake Las Vegas,2030 Lake Las Vegas Pkwy,,Henderson,NV,89011,US,Yes,Yes,Yes,Yes,,
Philly,Philly 2018,Tough Mudder Philly 2018,2018,5/19/18,5/19/18 3:00,5/21/18 2:59,Plantation Field,387 Green Valley Road,,Coatesville,PA,19320,US,Yes,Yes,Yes,Yes,,
Long Island,Long Island 2018,Tough Mudder Long Island 2018,2018,7/21/18,7/21/18 3:00,7/23/18 2:59,Old Bethpage Village Restoration,1303 Round Swamp Rd,,Old Bethpage,NY,11804,US,Yes,Yes,Yes,Yes,,
New Orleans,New Orleans 2018,Tough Mudder New Orleans 2018,2018,3/17/18,3/17/18 3:00,3/19/18 2:59,NOLA Motorsports Park,11705 Nicolle Blvd.,,Avondale,LA,70094,US,,Yes,Yes,Yes,,
Arizona,Arizona 2018,Tough Mudder Arizona 2018,2018,3/24/18,3/24/18 3:00,3/26/18 2:59,ISM Raceway,7602 S. Avondale Blvd.,,Avondale,AZ,85323,US,Yes,Yes,Yes,Yes,,
Central Texas,Central Texas 2018,Tough Mudder Central Texas 2018,2018,5/5/18,5/5/18 3:00,5/7/18 2:59,McMahan Ranch,290 Old Lake Road,,Smithville,TX,78957,US,Yes,Yes,Yes,Yes,,
Central Texas,Central Texas 2018,America's Toughest Mudder South - Central Texas 2018,2018,5/5/18,5/5/18 3:00,5/6/18 2:59,McMahan Ranch,290 Old Lake Road,,Smithville,TX,78957,US,,,,,Yes,
Sacramento,Sacramento 2018,Tough Mudder Sacramento 2018,2018,3/24/18,3/24/18 3:00,3/25/18 2:59,Gibson Ranch County Park,8554 Gibson Ranch Park Rd.,,Elverta,CA,95626,US,Yes,Yes,Yes,Yes,,
Sacramento,Sacramento 2018,Tough Mudder X Sacramento 2018,2018,3/25/18,3/25/18 3:00,3/26/18 2:59,Gibson Ranch County Park,8554 Gibson Ranch Park Rd.,,Elverta,CA,95626,US,,,,,,Yes
Miami,Miami 2018,Tough Mudder Miami 2018,2018,4/7/18,4/7/18 3:00,4/8/18 2:59,Amelia Earhart Park,401 E 65th St.,,Hialeah,FL,33013,US,Yes,Yes,Yes,Yes,,
Miami,Miami 2018,Tough Mudder X Miami 2018,2018,4/8/18,4/8/18 3:00,4/9/18 2:59,Amelia Earhart Park,401 E 65th St.,,Hialeah,FL,33013,US,,,,,,Yes
